Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,VmId,______,____________,Latitude,Longitude
中油豐榮加油站,VmId: cb45cbee-dba4-49a0-86dd-6b7e2d5c4564<br>地址: 台東縣台東市臨海路二段51號(近臨海路二段往新豐里橋)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.739481<br>Longitude: 121.143023,,,,,"-1","0","-1",,,cb45cbee-dba4-49a0-86dd-6b7e2d5c4564,台東縣台東市臨海路二段51號(近臨海路二段往新豐里橋),已啟用,"22.739481","121.143023"
全家新莊新市店站,VmId: cb74ccc5-3127-46ca-99bb-a4d702299f1f<br>地址: 新北市新莊區化成路431巷76號(近化成路431巷/福前街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.059909<br>Longitude: 121.462530,,,,,"-1","0","-1",,,cb74ccc5-3127-46ca-99bb-a4d702299f1f,新北市新莊區化成路431巷76號(近化成路431巷/福前街口),已啟用,"25.059909","121.462530"
全聯苑裡世界店站,VmId: cb7b3475-a6cd-4639-b35c-b5bee7221715<br>地址: 苗栗縣苑裡鎮世界路一段91-13號(近世界路一段與新興路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.439443<br>Longitude: 120.657171,,,,,"-1","0","-1",,,cb7b3475-a6cd-4639-b35c-b5bee7221715,苗栗縣苑裡鎮世界路一段91-13號(近世界路一段與新興路口),已啟用,"24.439443","120.657171"
星巴克本館店站(多站),VmId: cb93a602-de81-4646-9734-73dc4c13085d<br>地址: 高雄市鳥松區本館路211號(近本華路/應安街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.650569<br>Longitude: 120.341469,,,,,"-1","0","-1",,,cb93a602-de81-4646-9734-73dc4c13085d,高雄市鳥松區本館路211號(近本華路/應安街口),已啟用,"22.650569","120.341469"
中油宜蘭豐富加油站(多站),VmId: cbc2e573-c5e9-4c99-9615-eda1a241c75b<br>地址: 宜蘭縣礁溪鄉礁溪路三段266號(近礁溪分局三城派出所)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.811315<br>Longitude: 121.767686,,,,,"-1","0","-1",,,cbc2e573-c5e9-4c99-9615-eda1a241c75b,宜蘭縣礁溪鄉礁溪路三段266號(近礁溪分局三城派出所),已啟用,"24.811315","121.767686"
中油智弘加油站,VmId: cc2c58cf-380c-45bf-b32c-ce0c148cc468<br>地址: 台中市東區大智路210號(近大智路/建成路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.131734<br>Longitude: 120.689955,,,,,"-1","0","-1",,,cc2c58cf-380c-45bf-b32c-ce0c148cc468,台中市東區大智路210號(近大智路/建成路口),已啟用,"24.131734","120.689955"
全聯雲林斗六店站(多站),VmId: cc480eeb-93c4-49b1-9b12-15474249b5bf<br>地址: 雲林縣斗六市林投里莊敬路43號(近中山紀念公園)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 23.703846<br>Longitude: 120.550589,,,,,"-1","0","-1",,,cc480eeb-93c4-49b1-9b12-15474249b5bf,雲林縣斗六市林投里莊敬路43號(近中山紀念公園),已啟用,"23.703846","120.550589"
HiLife 竹北水岸店站(多站),VmId: cc66fa89-647c-481e-928f-111f8e13b5ec<br>地址: 新竹縣竹北市興隆路三段357號(近興隆路三段/嘉豐南路二段路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.804314<br>Longitude: 121.030052,,,,,"-1","0","-1",,,cc66fa89-647c-481e-928f-111f8e13b5ec,新竹縣竹北市興隆路三段357號(近興隆路三段/嘉豐南路二段路口),已啟用,"24.804314","121.030052"
台北捷運輔大站(多站)(4號出口),VmId: cc6f2e1a-d2d7-4830-8d61-9b953f0a02ea<br>地址: 新北市新莊區中正路捷運站4號出口(近捷運站機車轉乘停車場)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.033049<br>Longitude: 121.436453,,,,,"-1","0","-1",,,cc6f2e1a-d2d7-4830-8d61-9b953f0a02ea,新北市新莊區中正路捷運站4號出口(近捷運站機車轉乘停車場),已啟用,"25.033049","121.436453"
岡山福利站(多站),VmId: cc761370-7eaf-4c61-b13a-11fcdea60773<br>地址: 高雄市岡山區柳橋西路1號(近柳橋西路/樹人路)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.790308<br>Longitude: 120.289090,,,,,"-1","0","-1",,,cc761370-7eaf-4c61-b13a-11fcdea60773,高雄市岡山區柳橋西路1號(近柳橋西路/樹人路),已啟用,"22.790308","120.289090"
