Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,VmId,______,____________,Latitude,Longitude
玉成國小地下停車場B1F站,VmId: 63d6e6e6-dd6b-4bcb-bee4-d69e8df21722<br>地址: 台北市南港區昆陽街23號(地下一樓機車停車場)(近昆陽街84巷口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.053203<br>Longitude: 121.592755,,,,,"-1","0","-1",,,63d6e6e6-dd6b-4bcb-bee4-d69e8df21722,台北市南港區昆陽街23號(地下一樓機車停車場)(近昆陽街84巷口),已啟用,"25.053203","121.592755"
台灣聯通日月潭中興場站(多站),VmId: 64087439-1b71-4c70-af78-daf51ed0dec5<br>地址: 南投縣魚池鄉中山路163號(近日月潭水社遊客中心)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 23.865651<br>Longitude: 120.911443,,,,,"-1","0","-1",,,64087439-1b71-4c70-af78-daf51ed0dec5,南投縣魚池鄉中山路163號(近日月潭水社遊客中心),已啟用,"23.865651","120.911443"
中油台中和平加油站,VmId: 64158402-2ec6-43b7-8677-2636bb85c965<br>地址: 台中市和平區南勢里東關路三段5號(近原住民技藝研習中心)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.169213<br>Longitude: 120.903836,,,,,"-1","0","-1",,,64158402-2ec6-43b7-8677-2636bb85c965,台中市和平區南勢里東關路三段5號(近原住民技藝研習中心),已啟用,"24.169213","120.903836"
全家台南和緯店站,VmId: 64485ca8-fb46-4052-8344-0fd3389273cd<br>地址: 台南市北區和緯路三段333號1樓(近和緯路三段/文賢一路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 23.009742<br>Longitude: 120.195891,,,,,"-1","0","-1",,,64485ca8-fb46-4052-8344-0fd3389273cd,台南市北區和緯路三段333號1樓(近和緯路三段/文賢一路口),已啟用,"23.009742","120.195891"
中油白河中山加油站,VmId: 644e07d5-3d0e-4d2b-b93a-fe59c569c199<br>地址: 台南市白河區中山路1之62號(近中山路/富民路)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 23.345364<br>Longitude: 120.412031,,,,,"-1","0","-1",,,644e07d5-3d0e-4d2b-b93a-fe59c569c199,台南市白河區中山路1之62號(近中山路/富民路),已啟用,"23.345364","120.412031"
7-ELEVEN 勇伯店站,VmId: 6470153f-7d2a-40d6-a118-c8a35973ad87<br>地址: 桃園市八德區東勇北路380號(近東勇路/忠勇街424巷交叉口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.969485<br>Longitude: 121.306716,,,,,"-1","0","-1",,,6470153f-7d2a-40d6-a118-c8a35973ad87,桃園市八德區東勇北路380號(近東勇路/忠勇街424巷交叉口),已啟用,"24.969485","121.306716"
台糖六甲加油站,VmId: 64a5ba69-4b9f-4d78-a6ea-dd33a4cdf032<br>地址: 台南市歸仁區六甲里中正南路1段2200號(近中正南路1段/台39)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.946757<br>Longitude: 120.277398,,,,,"-1","0","-1",,,64a5ba69-4b9f-4d78-a6ea-dd33a4cdf032,台南市歸仁區六甲里中正南路1段2200號(近中正南路1段/台39),已啟用,"22.946757","120.277398"
中油宏益加油站,VmId: 64dd711a-9404-4cec-9d98-87069cd57d25<br>地址: 南投縣國姓鄉國姓路462-12號(近國姓路/長春街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.035990<br>Longitude: 120.851940,,,,,"-1","0","-1",,,64dd711a-9404-4cec-9d98-87069cd57d25,南投縣國姓鄉國姓路462-12號(近國姓路/長春街口),已啟用,"24.035990","120.851940"
福懋中正加油站,VmId: 6538b6c2-7caa-4b37-8363-c3610c992912<br>地址: 雲林縣莿桐鄉埔子村中正路20號(近莿桐鄉農會)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 23.756300<br>Longitude: 120.504505,,,,,"-1","0","-1",,,6538b6c2-7caa-4b37-8363-c3610c992912,雲林縣莿桐鄉埔子村中正路20號(近莿桐鄉農會),已啟用,"23.756300","120.504505"
臺北市大龍公園站(多站),VmId: 65528254-872d-45d4-b64f-7f5b131feaa1<br>地址: 台北市大同區大龍街262號(近大龍夜市商圈)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.070358<br>Longitude: 121.515863,,,,,"-1","0","-1",,,65528254-872d-45d4-b64f-7f5b131feaa1,台北市大同區大龍街262號(近大龍夜市商圈),已啟用,"25.070358","121.515863"
中油長流加油站,VmId: 6564fde6-e84b-43c4-a46a-9ed8781c9bad<br>地址: 南投縣國姓鄉大長路577-13號(近大長路/台21線交叉口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.064045<br>Longitude: 120.876568,,,,,"-1","0","-1",,,6564fde6-e84b-43c4-a46a-9ed8781c9bad,南投縣國姓鄉大長路577-13號(近大長路/台21線交叉口),已啟用,"24.064045","120.876568"
瑞福停車場站(多站),VmId: 6582f50e-1275-4397-b8b4-a5311be831b0<br>地址: 高雄市前鎮區瑞安街(近瑞福路/瑞安街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.607753<br>Longitude: 120.335410,,,,,"-1","0","-1",,,6582f50e-1275-4397-b8b4-a5311be831b0,高雄市前鎮區瑞安街(近瑞福路/瑞安街口),已啟用,"22.607753","120.335410"
