Name,VmId,address,status,lat,lng,Hours,nBatteries,Records,MaintenanceRecord
北基中清交流道加油站,a1457bc9-c2d5-4237-851a-44f6d2ffd503,台中市大雅區中清路三段801號(近中清路三段/中清路三段819巷口),已啟用,24.213653,120.649465,24HR,32 ,"['2019-04-25 13:45:00 ~ 新增建置中', '2019-05-03 09:05:00 ~ 狀態變更為 100 (即將啟用)', '2019-05-09 11:45:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-05-31 18:35:00 ~ 2021-06-01 18:00:00', '2021-05-31 18:35:00 ~ 2021-06-01 18:00:00', '2021-05-31 18:35:00 ~ 2021-06-01 18:00:00', '2021-05-31 18:35:00 ~ 2021-06-01 18:00:00', '2021-05-31 18:35:00 ~ 2021-06-01 18:00:00', '2021-05-31 18:35:00 ~ 2021-06-01 18:00:00', '2021-05-31 18:35:00 ~ 2021-06-01 18:00:00', '2021-05-31 18:35:00 ~ 2021-06-01 18:00:00', '2021-05-31 18:35:00 ~ 2021-06-01 18:00:00', '2021-05-31 18:35:00 ~ 2021-06-01 18:00:00']"
Gogoro 三民九如二門市站,a1534e79-4a61-4cb7-af50-37f218e3dab3,高雄市三民區九如二路318號(近九如二路 / 松江街),已啟用,22.641332,120.303912,24HR,24 ,"['2019-06-03 17:10:00 ~ 新增建置中狀態為 100 (即將啟用)', '2019-06-14 13:25:00 ~ 啟用', '2019-08-26 13:40:00 ~ 更改站名', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-08-11 20:49:00 ~ 2021-08-13 20:49:00', '2021-08-11 20:49:00 ~ 2021-08-13 20:49:00', '2021-08-11 20:49:00 ~ 2021-08-13 20:49:00', '2021-08-11 20:49:00 ~ 2021-08-13 20:49:00', '2021-08-11 20:49:00 ~ 2021-08-12 20:49:00', '2021-08-11 20:49:00 ~ 2021-08-12 20:49:00', '2021-08-11 20:49:00 ~ 2021-08-12 20:49:00', '2021-07-28 17:52:00 ~ 2021-07-29 17:52:00', '2021-07-28 17:52:00 ~ 2021-07-29 17:52:00', '2021-06-27 22:00:00 ~ 2021-06-28 18:00:00']"
高雄市鹽埕停車場站(多站),a17b19ee-07b0-41cf-a993-00bf603ac9d2,高雄市鹽埕區大仁路10號(近鹽埕區行政中心),建置中(其他狀態100),22.624793,120.286317,24HR, ,[],[]
新北市綠湖公園停車場站(多站),a1a271b9-b38c-4dbe-9e0e-049014aa1061,新北市新店區寶中路與品牌路交叉口(近hTC及新店裕隆城),建置中(其他狀態100),24.979429,121.546333,24HR, ,[],[]
新北市鶯歌區公所站(多站),a1a79410-f9a3-4524-9eee-44b2c2cdfedf,新北市鶯歌區仁愛路55號(近仁愛路/忠孝街交叉口),已啟用,24.955925,121.354551,24HR,46 ,"['2019-12-10 22:40:00 ~ 更改站名', '2019-12-27 18:10:00 ~ 更改站名', '2020-03-23 22:30:00 ~ 更改 GPS 位置', '2020-11-30 16:26:00 ~ 更改地址敘述', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-06-03 12:49:00 ~ 2021-06-04 12:00:00', '2021-06-03 12:49:00 ~ 2021-06-04 12:00:00', '2021-06-03 12:49:00 ~ 2021-06-04 12:00:00', '2021-06-03 12:49:00 ~ 2021-06-04 12:00:00', '2021-06-03 12:49:00 ~ 2021-06-04 12:00:00', '2021-06-03 12:49:00 ~ 2021-06-04 12:00:00', '2021-06-03 12:49:00 ~ 2021-06-04 12:00:00', '2021-06-03 12:49:00 ~ 2021-06-04 12:00:00', '2021-06-03 12:49:00 ~ 2021-06-04 12:00:00', '2021-06-03 12:49:00 ~ 2021-06-04 12:00:00']"
屏東縣屏東市自由路站,a1acea49-8a7a-403f-9397-5e7e96d3dbf2,屏東縣屏東市自由路487號(近自由路/信義路),已啟用,22.682937,120.491052,24HR,32 ,"['2020-01-31 09:45:00 ~ 新增建置中狀態為 100 (即將啟用)', '2020-02-11 11:35:00 ~ 啟用', '2021-07-16 19:26:00 ~ 更改站名', '2022-05-31 23:16:00 ~ 更改 GPS 位置']",[]
中油工三加油站,a1af2523-f4b3-499c-952f-340cd9dd5c4c,桃園市龜山區樂善里文化一路33號(近文化一路/復興一路交叉口),已啟用,25.061458,121.370529,24HR,18 ,"['2018-12-11 16:25:00 ~ 新增建置中', '2018-12-14 10:30:00 ~ 狀態變更為 100 (即將啟用)', '2018-12-24 18:45:00 ~ 將狀態 100 改回建置中', '2018-12-28 17:45:00 ~ 啟用', '2018-12-29 11:05:00 ~ 更改站名', '2019-01-02 10:25:00 ~ 更改站名', '2019-12-06 15:10:00 ~ 更改地址敘述', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-04-14 12:45:00 ~ 2021-04-14 14:15:00', '2021-04-14 12:45:00 ~ 2021-04-14 14:15:00', '2020-10-27 15:00:00 ~ 2020-10-27 17:00:00', '2020-02-05 17:06:00 ~ 2020-02-06 17:06:00', '2020-02-03 15:59:00 ~ 2020-02-04 15:59:00', '2020-01-21 12:09:00 ~ 2020-01-22 12:09:00', '2020-01-14 13:19:00 ~ 2020-01-15 13:19:00', '2020-01-14 13:03:00 ~ 2020-01-15 13:03:00', '2020-01-09 17:18:00 ~ 2020-01-10 17:18:00', '2019-12-10 14:30:00 ~ 2019-12-10 16:30:00']"
HiLife 大寮潮龍店站,a1c9db22-5359-4faa-970a-154c3d4189de,高雄市大寮區華中南路153號(近華中南路 / 潮信路口),已啟用,22.565936,120.428954,24HR,32 ,"['2019-09-18 20:55:00 ~ 新增建置中', '2019-10-15 11:30:00 ~ 更改地址', '2019-10-17 15:45:00 ~ 狀態變更為 100 (即將啟用)', '2019-10-25 10:40:00 ~ 啟用']","['2021-04-15 22:15:00 ~ 2021-04-16 18:00:00', '2021-04-15 22:15:00 ~ 2021-04-16 18:00:00', '2021-04-15 22:15:00 ~ 2021-04-16 18:00:00', '2021-04-15 22:15:00 ~ 2021-04-16 18:00:00', '2021-04-15 22:15:00 ~ 2021-04-16 18:00:00', '2021-04-15 22:15:00 ~ 2021-04-16 18:00:00', '2021-04-15 22:15:00 ~ 2021-04-16 18:00:00', '2021-04-15 22:15:00 ~ 2021-04-16 18:00:00', '2021-04-15 22:15:00 ~ 2021-04-16 18:00:00', '2021-04-15 22:15:00 ~ 2021-04-16 18:00:00']"
實踐大學站(多站),a1f27cb9-98ed-4d46-a519-6f59a38a0719,台北市中山區大直街70號(近崇實路/大直街62巷口),已啟用,25.082978,121.545146,24HR,42 ,"['2019-06-26 23:40:00 ~ 新增建置中', '2019-08-27 16:05:00 ~ 狀態變更為 100 (即將啟用)', '2019-09-05 13:10:00 ~ 啟用', '2020-01-30 10:45:00 ~ 更改站名', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2020-08-05 02:03:00 ~ 2020-08-06 02:03:00', '2020-07-26 22:45:00 ~ 2020-07-28 22:45:00', '2020-07-26 22:45:00 ~ 2020-07-27 22:45:00', '2020-02-12 13:55:00 ~ 2020-02-13 13:55:00', '2020-02-12 13:43:00 ~ 2020-02-13 13:43:00', '2020-02-12 12:49:00 ~ 2020-02-13 12:49:00', '2020-02-12 12:20:00 ~ 2020-02-13 12:20:00', '2020-02-10 08:53:00 ~ 2020-02-11 08:53:00', '2020-02-10 09:00:00 ~ 2020-02-10 14:00:00', '2020-02-06 18:00:00 ~ 2020-02-10 18:00:00']"
中油中宏加油站,a2038987-43fa-4deb-8b00-f1dde72b1eef,南投縣草屯鎮中正路434號(近成功駕訓班),已啟用,23.97747,120.7087,24HR,24 ,[],[]
全聯台中雅環店站(多站),a224b060-784d-4ba1-afd8-b2e38c397a47,台中市大雅區雅環路二段87號(近雅環路二段/雅環路二段85巷路口),已啟用,24.22615,120.652865,24HR,52 ,"['2018-10-01 14:50:00 ~ 狀態變更為 100 (即將啟用)', '2018-10-05 12:20:00 ~ 啟用', '2019-12-02 18:35:00 ~ 更改地址敘述', '2020-05-09 19:10:00 ~ 更改 GPS 位置', '2021-12-16 10:01:00 ~ 更改站名', '2022-05-31 23:16:00 ~ 更改 GPS 位置']",[]
Gogoro 師大和平店站(多站),a23741ae-c968-4047-90b1-327d05a75be7,台北市大安區和平東路一段129號(近和平東路一段141巷口),已啟用,25.026766,121.530287,24HR,46 ,['2022-05-31 23:16:00 ~ 更改 GPS 位置'],"['2021-08-17 19:16:00 ~ 2021-08-18 19:16:00', '2021-08-17 19:16:00 ~ 2021-08-18 19:16:00', '2021-08-17 19:16:00 ~ 2021-08-18 19:16:00', '2021-07-29 04:09:00 ~ 2021-07-30 04:09:00', '2021-07-29 04:09:00 ~ 2021-07-30 04:09:00', '2020-11-15 13:41:00 ~ 2020-11-16 13:41:00', '2020-11-15 13:41:00 ~ 2020-11-16 13:41:00', '2020-10-24 21:28:00 ~ 2020-10-26 21:28:00', '2020-10-24 21:28:00 ~ 2020-10-25 21:28:00', '2020-10-24 21:28:00 ~ 2020-10-25 21:28:00']"
德昌藥局岡山店站(多站),a24cb159-4762-4f45-b53f-4cf3d7e4574f,高雄市岡山區溪東路38號(近溪東路/溪東路50巷口),已啟用,22.79236,120.291475,24HR,46 ,"['2020-11-25 19:06:00 ~ 新增建置中', '2020-11-26 10:51:00 ~ 狀態變更為 100 (即將啟用)', '2021-06-28 16:01:00 ~ 啟用', '2021-07-02 15:41:00 ~ 更改地址敘述', '2022-05-31 23:16:00 ~ 更改 GPS 位置']",[]
中油文化路加油站,a29657a9-cafa-48c9-96f8-fb5319b1e060,嘉義市西區文化路11號(近文化路/垂楊路口),已啟用,23.474571,120.450169,07:00 ~ 21:00,34 ,"['2018-12-17 10:35:00 ~ 新增建置中狀態為 100 (即將啟用)', '2018-12-26 14:45:00 ~ 將狀態 100 改回建置中', '2019-01-30 17:15:00 ~ 啟用', '2019-01-31 11:50:00 ~ 更改服務時間', '2019-03-20 16:30:00 ~ 更改服務時間', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2020-10-19 11:55:00 ~ 2020-10-20 11:55:00', '2020-09-06 15:10:00 ~ 2020-09-07 12:00:00', '2020-01-31 15:37:00 ~ 2020-02-01 15:37:00', '2020-01-31 15:20:00 ~ 2020-02-01 15:20:00', '2020-01-02 14:25:00 ~ 2020-01-03 14:25:00', '2019-11-28 02:26:00 ~ 2019-11-29 02:26:00', '2019-11-15 14:53:00 ~ 2019-11-16 14:53:00', '2019-11-03 06:48:00 ~ 2019-11-04 06:48:00', '2019-10-18 10:59:00 ~ 2019-10-19 10:59:00', '2019-10-02 20:00:00 ~ 2019-10-03 18:00:00']"
中油高雄全通加油站,a2ab5f72-2e21-4e99-87c1-3c49c3730356,高雄市大樹區大坑路109號(近大樹農會姑山倉庫),已啟用,22.71517,120.442623,24HR,26 ,[],[]
民生路臨時停車場站(多站),a2b7d659-3b3e-4391-a141-219cf76b441c,台南市中西區民生路二段402號旁(近民生路二段/民生路二段400巷),已啟用,22.99799,120.188322,24HR,48 ,"['2021-07-01 15:36:00 ~ 新增建置中狀態為 100 (即將啟用)', '2021-07-15 11:31:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']",['2021-08-01 02:42:00 ~ 2021-08-02 02:42:00']
全聯竹北自強店站(多站),a2ba7de4-43b7-4ee7-8ee4-b0e8e781ead2,新竹縣竹北市自強五路60號(近自強五路與成功三路口),已啟用,24.81922,121.023522,24HR,50 ,"['2018-08-05 22:20:00 ~ 狀態變更為 100 (即將啟用)', '2018-08-10 12:05:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']",[]
全聯竹南公義店站,a2ebeece-2db0-4f08-8703-559fc06d2d3a,苗栗縣竹南鎮公義路1146號(近公義路與大埔一街口),已啟用,24.7121,120.901483,24HR,24 ,"['2018-09-09 13:30:00 ~ 狀態變更為 100 (即將啟用)', '2018-09-14 13:10:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-08-10 10:03:00 ~ 2021-08-11 10:03:00', '2021-08-10 10:03:00 ~ 2021-08-11 10:03:00', '2021-07-13 10:40:00 ~ 2021-07-13 14:20:00', '2021-07-13 10:40:00 ~ 2021-07-13 18:00:00', '2021-07-13 10:40:00 ~ 2021-07-13 18:00:00', '2021-07-13 10:40:00 ~ 2021-07-13 18:00:00', '2021-07-13 10:40:00 ~ 2021-07-13 18:00:00', '2021-07-13 10:40:00 ~ 2021-07-13 18:00:00', '2021-07-13 10:40:00 ~ 2021-07-13 18:00:00', '2021-07-01 16:40:00 ~ 2021-07-01 17:30:00']"
台北捷運丹鳳站,a2eecfe2-7ea5-465a-ac62-b11c938679ce,新北市新莊區中正路捷運站1號出口(近捷運站機車轉乘停車場/貴鳳街口),已啟用,25.02946,121.423798,24HR,34 ,['2022-05-31 23:16:00 ~ 更改 GPS 位置'],"['2021-08-17 03:33:00 ~ 2021-08-18 03:33:00', '2021-08-07 17:52:00 ~ 2021-08-08 17:52:00', '2021-08-07 17:52:00 ~ 2021-08-08 17:52:00', '2021-08-07 17:52:00 ~ 2021-08-08 17:52:00', '2021-08-03 15:05:00 ~ 2021-08-04 15:05:00', '2021-05-19 00:40:00 ~ 2021-05-19 18:00:00', '2021-05-19 00:40:00 ~ 2021-05-19 18:00:00', '2021-05-19 00:40:00 ~ 2021-05-19 18:00:00', '2021-05-19 00:40:00 ~ 2021-05-19 18:00:00', '2021-05-19 00:40:00 ~ 2021-05-19 18:00:00']"
千葉火鍋苗栗店站(多站),a3090a20-7aea-4ba4-a0eb-5db55304718d,苗栗縣苗栗市國華路982號(近國華路與國華路1026巷口),已啟用,24.56704,120.81349,24HR,48 ,"['2020-02-27 10:25:00 ~ 新增建置中狀態為 100 (即將啟用)', '2020-03-02 15:05:00 ~ 啟用']","['2021-07-02 11:00:00 ~ 2021-07-02 12:00:00', '2021-07-02 11:00:00 ~ 2021-07-02 12:00:00', '2021-03-29 10:00:00 ~ 2021-03-29 18:00:00', '2021-03-29 10:00:00 ~ 2021-03-29 18:00:00', '2021-03-29 10:00:00 ~ 2021-03-29 18:00:00', '2021-03-29 10:00:00 ~ 2021-03-29 18:00:00', '2021-03-29 10:00:00 ~ 2021-03-29 18:00:00', '2021-03-29 10:00:00 ~ 2021-03-29 18:00:00', '2021-03-29 10:00:00 ~ 2021-03-29 18:00:00', '2021-03-26 13:00:00 ~ 2021-03-26 14:00:00']"
臺中市中正社區活動中心站(多站),a30f9e9a-143f-4d8e-bb4f-ae9dc4f41b23,臺中市梧棲區中正里臨港路四段246號(近臨港路/築港路口),已啟用,24.258306,120.526956,24HR,52 ,"['2021-03-04 11:31:00 ~ 新增建置中', '2021-03-05 15:01:00 ~ 狀態變更為 100 (即將啟用)', '2021-03-08 17:21:00 ~ 更改 GPS 位置', '2021-04-06 17:31:00 ~ 啟用', '2022-01-17 16:11:00 ~ 更改 GPS 位置', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-04-26 14:30:00 ~ 2021-05-26 18:00:00', '2021-04-26 14:30:00 ~ 2021-05-26 18:00:00', '2021-04-26 14:30:00 ~ 2021-05-26 18:00:00', '2021-04-26 14:30:00 ~ 2021-05-26 18:00:00', '2021-04-26 14:30:00 ~ 2021-05-26 18:00:00', '2021-04-26 14:30:00 ~ 2021-05-26 18:00:00', '2021-04-26 14:30:00 ~ 2021-05-26 18:00:00', '2021-04-26 14:30:00 ~ 2021-05-26 18:00:00', '2021-04-26 14:30:00 ~ 2021-05-26 18:00:00', '2021-04-26 14:30:00 ~ 2021-05-26 18:00:00']"
中油南北通加油站,a3358630-4114-48de-a03c-c6446c855b04,台中市北屯區環中路一段1686號(近環中路一段/松竹路三段口),已啟用,24.201339,120.670627,24HR,24 ,[],[]
全家台南新夏店站,a3497372-616d-435f-b1be-a3d885b23e95,台南市南區新興路151號(近夏林路/新興路口),已啟用,22.978014,120.195089,24HR,32 ,"['2019-02-26 16:55:00 ~ 新增建置中', '2019-03-25 17:25:00 ~ 狀態變更為 100 (即將啟用)', '2019-03-29 10:50:00 ~ 啟用', '2020-07-03 14:00:00 ~ 更改 GPS 位置', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2020-10-30 13:08:00 ~ 2020-10-31 13:08:00', '2020-10-05 09:55:00 ~ 2020-10-06 09:55:00', '2020-10-05 09:55:00 ~ 2020-10-06 09:55:00', '2020-09-23 22:33:00 ~ 2020-09-24 22:33:00', '2020-09-23 22:33:00 ~ 2020-09-24 22:33:00', '2020-08-06 14:56:00 ~ 2020-08-07 14:56:00', '2020-02-18 12:57:00 ~ 2020-02-19 12:57:00', '2020-02-15 15:13:00 ~ 2020-02-16 15:13:00', '2020-01-31 14:29:00 ~ 2020-02-01 14:29:00', '2020-01-31 14:18:00 ~ 2020-02-01 14:18:00']"
中油和順加油站,a34f6e39-167f-4fe2-aa0e-a7378ae8be51,台南市安南區安和路四段335號(近安和路四段/州南六街口),已啟用,23.058102,120.218505,24HR,32 ,"['2018-12-21 12:20:00 ~ 新增建置中', '2018-12-24 17:05:00 ~ 狀態變更為 100 (即將啟用)', '2019-01-03 12:35:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-08-02 17:46:00 ~ 2021-08-03 17:46:00', '2021-06-08 10:22:00 ~ 2021-06-11 18:00:00', '2021-06-08 10:22:00 ~ 2021-06-11 18:00:00', '2021-06-08 10:22:00 ~ 2021-06-11 18:00:00', '2021-06-08 10:22:00 ~ 2021-06-11 18:00:00', '2021-06-08 10:22:00 ~ 2021-06-11 18:00:00', '2021-06-08 10:22:00 ~ 2021-06-11 18:00:00', '2021-06-08 10:22:00 ~ 2021-06-11 18:00:00', '2021-06-08 10:22:00 ~ 2021-06-11 18:00:00', '2021-06-08 10:22:00 ~ 2021-06-11 18:00:00']"
