Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,VmId,______,____________,Latitude,Longitude,NameOnPage,Address,Hours,nBatteries,Records,MaintenanceRecord
宏佳騰南屯大墩店站,VmId: e8aadc3c-f0fb-4ca7-b2bb-bcf5fc22d105<br>地址: 台中市南屯區大墩路653-3號(近大墩路/大墩13街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.151868<br>Longitude: 120.649626,,,,,-1,0,-1,,,e8aadc3c-f0fb-4ca7-b2bb-bcf5fc22d105,台中市南屯區大墩路653-3號(近大墩路/大墩13街口),已啟用,24.151868,120.649626, (), ,, ,"['2020-09-30 09:26:00 ~ 新增建置中', '2020-09-30 10:26:00 ~ 狀態變更為 100 (即將啟用)', '2020-10-06 16:36:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']",[]
中油中新加油站,VmId: e8bcfc37-7ece-49e3-813d-3d7f8f66ba61<br>地址: 桃園市觀音區中山路二段236號(近中山路二段/大湖路二段口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.017071<br>Longitude: 121.126583,,,,,-1,0,-1,,,e8bcfc37-7ece-49e3-813d-3d7f8f66ba61,桃園市觀音區中山路二段236號(近中山路二段/大湖路二段口),已啟用,25.017071,121.126583,中油中新加油站 (已啟用),桃園市觀音區中山路二段236號(近中山路二段/大湖路二段口) ,24HR,24 ,"['2021-10-26 17:01:00 ~ 新增建置中狀態為 100 (即將啟用)', '2021-10-29 14:11:00 ~ 更改 GPS 位置', '2021-11-10 11:31:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']",[]
全家蘆竹吉林店站(多站),VmId: e8c97708-7c8a-4573-9239-90c1c044fef5<br>地址: 桃園市蘆竹區吉林路2號(近仁愛路一段/吉林路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.051340<br>Longitude: 121.296060,,,,,-1,0,-1,,,e8c97708-7c8a-4573-9239-90c1c044fef5,桃園市蘆竹區吉林路2號(近仁愛路一段/吉林路口),已啟用,25.05134,121.29606,全家蘆竹吉林店站A (已啟用),桃園市蘆竹區吉林路2號(近仁愛路一段/吉林路口) ,24HR,50 ,"['2021-01-25 11:46:00 ~ 新增建置中狀態為 100 (即將啟用)', '2021-01-26 12:56:00 ~ 更改 GPS 位置', '2021-01-26 13:36:00 ~ 啟用']","['2021-07-15 13:10:00 ~ 2021-07-15 15:30:00', '2021-07-15 13:10:00 ~ 2021-07-15 15:30:00', '2021-07-15 13:10:00 ~ 2021-07-15 15:30:00', '2021-03-03 14:00:00 ~ 2021-03-03 15:20:00']"
中油竹塘加油站,VmId: e9078e90-ccc3-4a26-96cc-b2fbd1539cc7<br>地址: 彰化縣竹塘鄉竹林路一段165號(近竹林路/竹五路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 23.857975<br>Longitude: 120.429197,,,,,-1,0,-1,,,e9078e90-ccc3-4a26-96cc-b2fbd1539cc7,彰化縣竹塘鄉竹林路一段165號(近竹林路/竹五路口),已啟用,23.857975,120.429197,中油竹塘加油站 (已啟用),彰化縣竹塘鄉竹林路一段165號(近竹林路/竹五路口) ,24HR,24 ,[],[]
臺中市廣停停車場站(多站),VmId: e9221bd5-cc47-4e98-acec-abb76a66a657<br>地址: 臺中市北區博館二街、博館東街9巷(近博館二街/博館東街路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.154776<br>Longitude: 120.666014,,,,,-1,0,-1,,,e9221bd5-cc47-4e98-acec-abb76a66a657,臺中市北區博館二街、博館東街9巷(近博館二街/博館東街路口),已啟用,24.154776,120.666014,臺中市廣停停車場站A (已啟用),台中市北區博館二街、博館東街9巷(近博館二街/博館東街路口) ,24HR,58 ,"['2019-08-09 09:35:00 ~ 新增建置中', '2019-08-22 02:35:00 ~ 更改站名', '2019-12-16 10:50:00 ~ 狀態變更為 100 (即將啟用)', '2020-01-06 10:35:00 ~ 更改地址', '2020-02-07 11:15:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-04-19 18:00:00 ~ 2021-07-31 18:00:00', '2021-04-19 18:00:00 ~ 2021-07-31 18:00:00', '2021-04-19 18:00:00 ~ 2021-07-31 18:00:00', '2021-04-19 18:00:00 ~ 2021-07-31 18:00:00', '2021-04-19 18:00:00 ~ 2021-07-31 18:00:00', '2021-04-19 18:00:00 ~ 2021-07-31 18:00:00', '2021-04-19 18:00:00 ~ 2021-07-31 18:00:00', '2021-04-19 18:00:00 ~ 2021-07-31 18:00:00', '2021-04-19 18:00:00 ~ 2021-07-31 18:00:00', '2021-04-19 18:00:00 ~ 2021-07-31 18:00:00']"
啄木鳥藥局埔里店站(多站),VmId: e94a4e5e-45d8-432f-af08-9907d23f3e79<br>地址: 南投縣埔里鎮中山路三段467號(近大成國小)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 23.969633<br>Longitude: 120.953626,,,,,-1,0,-1,,,e94a4e5e-45d8-432f-af08-9907d23f3e79,南投縣埔里鎮中山路三段467號(近大成國小),已啟用,23.969633,120.953626,啄木鳥藥局埔里店站A (已啟用),南投縣埔里鎮中山路三段467號(近大成國小) ,24HR,52 ,"['2021-07-21 16:11:00 ~ 新增建置中狀態為 100 (即將啟用)', '2021-07-23 07:16:00 ~ 將狀態 100 改回建置中', '2021-07-28 09:56:00 ~ 狀態變更為 100 (即將啟用)', '2021-08-04 15:36:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']",[]
台北捷運昆陽站(多站),VmId: e952db31-030a-45ba-89f8-76e993729bd6<br>地址: 臺北市南港區忠孝東路6段451號(近忠孝東路六段/向陽路交叉口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.050816<br>Longitude: 121.594706,,,,,-1,0,-1,,,e952db31-030a-45ba-89f8-76e993729bd6,臺北市南港區忠孝東路6段451號(近忠孝東路六段/向陽路交叉口),已啟用,25.050816,121.594706,台北捷運昆陽站A (已啟用),台北市南港區忠孝東路6段451號(近忠孝東路六段/向陽路交叉口) ,24HR,52 ,[],[]
中油喜樹加油站,VmId: e98be7e9-daf3-47a6-b88d-d6a46788496b<br>地址: 台南市南區喜樹路63號(近喜樹路/喜樹路61巷口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.946138<br>Longitude: 120.179956,,,,,-1,0,-1,,,e98be7e9-daf3-47a6-b88d-d6a46788496b,台南市南區喜樹路63號(近喜樹路/喜樹路61巷口),已啟用,22.946138,120.179956,中油喜樹加油站 (已啟用),台南市南區喜樹路63號(近喜樹路/喜樹路61巷口) ,24HR,18 ,"['2018-12-21 14:20:00 ~ 新增建置中', '2018-12-22 12:05:00 ~ 狀態變更為 100 (即將啟用)', '2018-12-26 21:10:00 ~ 更改 GPS 位置', '2019-01-17 17:40:00 ~ 啟用', '2019-02-12 17:00:00 ~ 更改地址', '2019-02-26 16:35:00 ~ 搬遷', '2019-03-04 11:40:00 ~ 搬遷', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-07-15 14:00:00 ~ 2021-09-13 18:00:00', '2021-07-15 14:00:00 ~ 2021-09-13 18:00:00', '2021-07-15 14:00:00 ~ 2021-09-13 18:00:00', '2021-07-15 14:00:00 ~ 2021-09-13 18:00:00', '2021-07-15 14:00:00 ~ 2021-09-13 18:00:00', '2021-07-15 14:00:00 ~ 2021-09-13 18:00:00', '2021-07-15 14:00:00 ~ 2021-09-13 18:00:00', '2021-07-15 14:00:00 ~ 2021-09-13 18:00:00', '2021-07-15 14:00:00 ~ 2021-09-13 18:00:00', '2021-07-15 14:00:00 ~ 2021-09-13 18:00:00']"
全家林園鳳林店站,VmId: e98d98ee-5e30-4be3-bca1-2794588971d9<br>地址: 高雄市林園區鳳林路一段92號(近鳳林路一段與五福路交叉口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.504009<br>Longitude: 120.397856,,,,,-1,0,-1,,,e98d98ee-5e30-4be3-bca1-2794588971d9,高雄市林園區鳳林路一段92號(近鳳林路一段與五福路交叉口),已啟用,22.504009,120.397856,全家林園鳳林店站 (已啟用),高雄市林園區鳳林路一段92號(近鳳林路一段與五福路交叉口) ,24HR,32 ,"['2019-02-25 12:40:00 ~ 新增建置中', '2019-05-17 17:05:00 ~ 狀態變更為 100 (即將啟用)', '2019-05-24 10:30:00 ~ 啟用', '2020-06-12 10:05:00 ~ 將已啟用改回建置中', '2020-06-12 13:55:00 ~ 啟用', '2020-06-12 15:55:00 ~ 將已啟用改回建置中', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-03-17 17:43:00 ~ 2021-03-19 18:00:00', '2021-03-17 17:43:00 ~ 2021-03-19 18:00:00', '2021-03-17 17:43:00 ~ 2021-03-19 18:00:00', '2021-03-17 17:43:00 ~ 2021-03-19 18:00:00', '2021-03-17 17:43:00 ~ 2021-03-19 18:00:00', '2021-03-17 17:43:00 ~ 2021-03-19 18:00:00', '2021-03-17 17:43:00 ~ 2021-03-19 18:00:00', '2021-03-17 17:43:00 ~ 2021-03-19 18:00:00', '2021-03-17 17:43:00 ~ 2021-03-19 18:00:00', '2021-03-17 17:43:00 ~ 2021-03-19 18:00:00']"
中油永康加油站,VmId: e9a226f9-8db4-4247-8c58-1b5f62f8d680<br>地址: 台南市永康區中正北路348號(近蔦松二街/中正北路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 23.041786<br>Longitude: 120.254909,,,,,-1,0,-1,,,e9a226f9-8db4-4247-8c58-1b5f62f8d680,台南市永康區中正北路348號(近蔦松二街/中正北路口),已啟用,23.041786,120.254909,中油永康加油站 (已啟用),台南市永康區中正北路348號(近蔦松二街/中正北路口) ,24HR,18 ,"['2018-12-14 05:40:00 ~ 新增建置中狀態為 100 (即將啟用)', '2018-12-14 11:15:00 ~ 將狀態 100 改回建置中', '2018-12-19 16:20:00 ~ 狀態變更為 100 (即將啟用)', '2018-12-25 11:20:00 ~ 啟用', '2019-10-25 00:05:00 ~ 更改站名', '2019-10-25 11:40:00 ~ 更改站名', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2020-10-20 13:24:00 ~ 2020-10-21 13:24:00', '2020-09-21 20:05:00 ~ 2020-09-22 20:05:00', '2020-09-21 20:05:00 ~ 2020-09-22 20:05:00', '2020-02-14 12:39:00 ~ 2020-02-15 12:39:00', '2020-02-14 12:25:00 ~ 2020-02-15 12:25:00', '2020-02-14 10:15:00 ~ 2020-02-15 10:15:00', '2020-02-13 16:15:00 ~ 2020-02-14 16:15:00', '2019-12-04 17:18:00 ~ 2019-12-05 17:18:00', '2019-12-02 10:44:00 ~ 2019-12-03 10:44:00', '2019-11-28 16:38:00 ~ 2019-11-29 16:38:00']"
